#satellite:text,platform:text,platform_id:int,rttov_sat_id:int,rttov_sensor_id:int,reportype:int,sat_instr:int,sat_id:int,varno:int
AQUA,EOS,9,2,3,1008,570,784,119
NOAA15,NOAA,1,15,3,1001,570,206,119
NOAA16,NOAA,1,16,3,1002,570,207,119
NOAA17,NOAA,1,17,3,1003,570,208,119
NOAA18,NOAA,1,18,3,1004,570,209,119
NOAA19,NOAA,1,19,3,1005,570,223,119
METOPA,METOP,10,2,3,1007,570,4,119
METOPB,METOP,10,1,3,1009,570,3,119
METOPC,METOP,10,3,3,1010,570,5,119
METOPA,IASI,10,2,16,11001,221,4,119
METOPB,IASI,10,1,16,11002,221,3,119
METOPC,IASI,10,3,16,11003,221,5,119
