varno:int,description:text
1,"z -- geopotential"
2,"t -- upper air temperature (K)"
3,"u -- upper air u component"
4,"v -- upper air v component"
5,"du -- wind shear (du)"
6,"dv -- wind shear (dv)"
7,"q -- specific humidity (q)"
8,"vsp -- vertical speed"
9,"pwc -- precipitable water content"
11,"ts -- surface temperature (K)"
12,"tsts -- sea water temperature (used in synoptic maps)"
19,"rhlay -- layer rel. humidity"
29,"rh -- upper air rel. humidity"
30,"ptend -- pressure tendency"
39,"t2m -- 2m temperature (K)"
40,"td2m -- 2m dew point (K)"
41,"u10m -- 10m u component (m/s)"
42,"v10m -- 10m v component (m/s)"
56,"vt -- virtual temperature"
57,"dz -- thickness"
58,"rh2m -- 2m rel. humidity"
59,"td -- upper air dew point (K)"
60,"w -- past weather (w)"
61,"ww -- present weather (ww)"
62,"vv -- visibility"
63,"ch -- type of high clouds (ch)"
64,"cm -- type of middle clouds (cm)"
65,"cl -- type of low clouds (cl)"
66,"nh -- cloud base height (nh)"
67,"nn -- low cloud amount (n)"
68,"hshs -- additional cloud group height (hh)"
69,"c -- additional cloud group type (c)"
70,"ns -- additional cloud group amount (ns)"
71,"sdepth -- snow depth"
72,"e -- state of ground (e)"
73,"tgtg -- ground temperature (tgtg)"
74,"spsp1 -- special phenomena (spsp)#1"
75,"spsp2 -- special phenomena (spsp)#2"
76,"rs -- ice code type (rs)"
77,"eses -- ice thickness (eses)"
78,"is -- ice (is)"
79,"trtr -- original time period of rain obs. (trtr)"
80,"rr -- 6hr rain (liquid part)"
81,"jj -- max. temperature (jj)"
82,"vs -- ship speed (vs)"
83,"ds -- ship direction (ds)"
84,"hwhw -- wave height"
85,"pwpw -- wave period"
86,"dwdw -- wave direction"
87,"gclg -- general cloud group"
88,"rhlc -- rel. humidity from low clouds"
89,"rhmc -- rel. humidity from middle clouds"
90,"rhhc -- rel. humidity from high clouds"
91,"n -- total amount of clouds"
92,"sfall -- 6hr snowfall (solid part of rain)"
107,"pstation -- Station pressure (Pa)"
108,"pmsl -- Mean sea-level pressure (Pa)"
109,"pstandard -- Standard level pressure (Pa)"
110,"ps -- surface pressure"
111,"dd -- wind direction"
112,"ff -- wind force"
119,"rawbt -- brightness temperature (K)"
120,"rawra -- raw radiance"
121,"satcl -- cloud amount from satellite"
122,"scatss -- sigma 0"
123,"cllqw -- cloud liquid water"
124,"scatv -- ambiguous v component"
125,"scatu -- ambiguous u component"
126,"scatwd -- ambiguous wind direction"
127,"scatws -- ambiguous wind speed"
128,"apdss -- atmospheric path delay in satellite signal"
130,"cpt -- characteristic of pressure tendency (used in synoptic maps)"
156,"height -- height"
160,"w2 -- past weather 2 (used in synoptic maps)"
162,"bend_angle -- radio occultation bending angle"
163,"limb_radiance -- Limb Radiances"
174,"aerod -- aerosol optical depth at 0.55 microns"
175,"cod -- cloud optical depth"
176,"rao -- Ratio of fine mode to total aerosol optical depth at 0.55 microns"
177,"od -- optical depth"
178,"rfltnc -- Aerosol reflectance multi-channel"
179,"nsoilm -- normalized soil moisture  (0-100%)"
180,"soilm -- soil moisture"
181,"chem1 -- chem1: no2/nox"
182,"chem2 -- chem2: so2"
183,"chem3 -- chem3: co"
184,"chem4 -- chem4: hcho"
185,"chem5 -- chem5: go3"
186,"ghg1 -- ghg1: carbon dioxide"
187,"los -- horizontal line-of-sight wind component"
188,"ghg2 -- ghg2: methane"
189,"ghg3 -- ghg3: nitrous oxide"
190,"bt_real -- brightness temperature real part"
191,"bt_imaginary -- brightness temperature imaginary part"
192,"refl -- radar reflectivity"
193,"rawbt_clear -- brightness temperature for clear  (K)"
194,"rawbt_cloudy -- brightness temperature for cloudy (K)"
195,"dopp -- radar doppler wind"
201,"flgt_phase -- phase of aircraft flight"
202,"prc -- radar rain rate"
203,"lnprc -- log(radar rain rate mm/h + epsilon)"
206,"o3lay -- layer ozone"
211,"height_assignment_method -- Height assignment method"
215,"1dvar -- 1d-var model level (pseudo)-variable"
218,"vert_vv -- Vertical visibility (m)"
219,"max_wind_shear1 -- Wind shear above and below 1st maximum wind in sonde profile (s-1)"
220,"ralt_swh -- significant wave height (m)"
221,"ralt_sws -- surface wind speed (m/s)"
222,"libksc -- lidar backscattering"
223,"binary_snow_cover -- binary snow cover (0: no snow / 1: presence of snow)"
224,"salinity -- ocean salinity (PSU)"
225,"potential_temp -- potential temperature (Kelvin) or theta -- [alias to $potential_temp]"
226,"humidity_mixing_ratio -- humidity mixing ratio (kg/kg)"
227,"airframe_icing -- airframe icing"
228,"turbulence_index -- turbulence index"
229,"tot_zen_delay -- Total zenith delay (GPS)"
230,"tot_zen_delay_err -- Total zenith delay error (GPS)"
231,"cloud_top_temp -- Cloud top temperature (K)"
233,"rawsca -- Scaled radiance"
235,"cloud_top_press -- Cloud top pressure (Pa)"
236,"lidar_aerosol_extinction -- lidar aerosol extinction"
237,"lidar_cloud_backscatter -- lidar cloud backscatter"
238,"lidar_cloud_extinction -- lidar cloud extinction"
239,"cloud_radar_reflectivity -- cloud radar reflectivity"
241,"mean_freq -- GPSRO mean frequency"
242,"u_amb -- Ambiguous u-wind component (m/s)"
243,"v_amb -- Ambiguous v-wind component (m/s)"
244,"lwp -- Liquid water path"
245,"tcwv -- Total column water vapour"
247,"cloud_frac_clear -- Cloud clear fraction"
248,"rawbt_hirs -- Raw brightness temperature specific to HIRS (K)"
249,"rawbt_amsu -- Raw brightness temperature specific to AMSU (K)"
250,"rawbt_hirs20 -- Raw brightness temperature specific to HIRS (K)"
253,"sea_ice -- Sea ice fraction"
257,"cloud_frac_covered -- Cloud covered fraction"
258,"level_mixing_ratio -- [alias for $humidity_mixing_ratio]"
259,"radial_velocity -- Radial velocity from doppler radar"
260,"cloud_ice_water -- Cloud ice water"
261,"wind_gust -- Maximum wind gust (m/s)"
262,"mass_density -- Mass density"
263,"atmosphere_number -- SFERICS number of atmospheres"
265,"lightning -- Lightning strike observation (ATDNET)"
266,"level_cloud -- Cloud fraction (multi-level)"
267,"rawbt_amsr_89ghz -- Raw brightness temperature specific to AMSR 89GHz channels (K)"
268,"max_wind_shear2 -- Wind shear above and below 2nd maximum wind in sonde profile"
269,"lower_layer_p -- Pressure at bottom of layer SBUV (Pa)"
270,"upper_layer_p -- Pressure at top of later SBUV (Pa)"
271,"cloud_cover -- Total cloud cover"
272,"depth -- Depth (m)"
273,"ssh -- Sea surface height (m)"
274,"rawbt_mwts -- Raw brightness temperature specific to MWTS (K)"
275,"rawbt_mwhs -- Raw brightness temperature specific to MWHS (K)"
281,"q2m -- 2m specific humidity"
284,"chem6 -- chem6: so2 volcanic"
301,"refrac -- refractivity (Dart/SPREADS)"
