id:int,group_id:int,bufrtype:int,subtype:int,obstype:int,codetype:int,sensor_id:int,sat_instr:int,sat_id:int,accumulation_length:int
16001,17,0,3,1,14,-1,-1,-1,-1
16002,17,0,1,1,11,-1,-1,-1,-1
16003,17,0,9,1,11,-1,-1,-1,-1
16004,17,0,140,1,140,-1,-1,-1,-1
16005,17,1,21,4,165,-1,-1,-1,-1
16006,17,1,13,1,24,-1,-1,-1,-1
16007,17,1,19,1,23,-1,-1,-1,-1
16008,17,1,11,1,21,-1,-1,-1,-1
16009,17,1,9,1,21,-1,-1,-1,-1
16010,17,1,22,4,63,-1,-1,-1,-1
16011,17,1,23,4,64,-1,-1,-1,-1
16012,17,1,110,1,110,-1,-1,-1,-1
16013,17,2,91,6,32,-1,-1,-1,-1
16014,17,2,92,6,33,-1,-1,-1,-1
16015,17,2,95,6,34,-1,-1,-1,-1
16016,17,2,96,6,34,-1,-1,-1,-1
16017,17,2,96,6,134,-1,-1,-1,-1
16018,17,2,96,6,131,-1,-1,-1,-1
16019,17,2,102,5,36,-1,-1,-1,-1
16020,17,2,103,5,135,-1,-1,-1,-1
16021,17,2,106,5,37,-1,-1,-1,-1
16022,17,2,101,5,35,-1,-1,-1,-1
16023,17,2,104,5,39,-1,-1,-1,-1
16024,17,2,105,5,40,-1,-1,-1,-1
16026,17,4,142,2,141,-1,-1,-1,-1
16027,17,4,141,2,41,-1,-1,-1,-1
16028,17,4,143,2,241,-1,-1,-1,-1
16029,17,4,144,2,144,-1,-1,-1,-1
16030,17,4,145,2,145,-1,-1,-1,-1
16031,17,253,164,8,180,-1,-1,-1,-1
16032,17,3,161,8,180,-1,-1,-1,-1
16037,17,3,61,7,86,-1,-1,-1,-1
16038,17,3,62,7,86,-1,-1,-1,-1
16039,17,3,63,7,86,-1,-1,-1,-1
16040,17,3,65,7,86,-1,-1,-1,-1
16041,17,3,71,7,186,-1,-1,-1,-1
16042,17,3,72,7,186,-1,-1,-1,-1
16043,17,3,73,7,186,-1,-1,-1,-1
16044,17,3,75,7,186,-1,-1,-1,-1
16084,17,1,182,4,189,-1,-1,-1,-1
16083,17,1,181,4,188,-1,-1,-1,-1
16082,17,4,146,2,146,-1,-1,-1,-1
16074,17,1,180,1,182,-1,-1,-1,-1
16069,17,2,113,6,113,-1,-1,-1,-1
16068,17,2,112,6,112,-1,-1,-1,-1
16065,17,0,147,1,140,-1,-1,-1,-1
16045,17,2,109,5,109,-1,-1,-1,-1
16046,17,2,111,5,111,-1,-1,-1,-1
16066,17,4,148,2,148,-1,-1,-1,-1
25001,26,6,125,14,3,-1,-1,-1,-1
16067,17,4,149,2,149,-1,-1,-1,-1
16025,17,0,28,1,17,-1,-1,-1,-1
16076,17,0,170,1,170,-1,-1,-1,-1
16076,17,0,172,1,170,-1,-1,-1,-1
16076,17,0,176,1,170,-1,-1,-1,-1
16076,17,0,178,1,178,-1,-1,-1,-1
16086,17,2,230,5,230,-1,-1,-1,-1
16087,17,2,231,5,231,-1,-1,-1,-1
16088,17,4,150,2,147,-1,-1,-1,-1
16089,17,4,151,2,151,-1,-1,-1,-1
16090,17,0,179,1,179,-1,-1,-1,-1
9001,10,12,8,9,8,150,150,1,-1
9002,10,12,122,9,122,150,150,1,-1
5001,6,3,206,7,206,170,170,2,-1
9003,10,12,122,9,122,150,150,2,-1
35002,36,3,209,7,206,170,170,2,-1
5025,6,3,205,7,206,170,170,2,-1
5050,6,3,208,7,206,170,170,2,-1
9007,10,12,139,9,139,190,190,3,-1
25,1,3,55,7,210,0,607,3,-1
1009,2,3,55,7,210,3,570,3,-1
3004,4,3,55,7,210,15,203,3,-1
7013,8,3,250,10,250,202,202,3,-1
11002,12,3,240,7,210,16,221,3,-1
21009,22,3,55,16,215,3,570,3,-1
5057,6,3,206,7,206,220,220,3,-1
35011,36,3,229,7,206,221,221,3,-1
44004,45,3,55,16,215,15,203,3,-1
5061,6,3,208,7,206,220,220,3,-1
35012,36,3,209,7,206,220,220,3,-1
35013,36,3,229,7,206,220,220,3,-1
5062,6,3,205,7,206,220,220,3,-1
5072,6,3,207,7,206,220,220,3,-1
35017,36,3,228,7,206,221,221,3,-1
5087,6,3,208,7,206,221,221,3,-1
15,1,3,55,7,210,0,607,4,-1
1007,2,3,55,7,210,3,570,4,-1
3002,4,3,55,7,210,15,203,4,-1
5013,6,3,206,7,206,220,220,4,-1
7001,8,3,250,10,250,202,202,4,-1
9005,10,12,139,9,139,190,190,4,-1
11001,12,3,240,7,210,16,221,4,-1
21007,22,3,55,16,215,3,570,4,-1
5024,6,3,208,7,206,221,221,4,-1
35004,36,3,209,7,206,220,220,4,-1
35005,36,3,228,7,206,221,221,4,-1
35007,36,3,229,7,206,221,221,4,-1
5037,6,3,205,7,206,220,220,4,-1
5047,6,3,208,7,206,220,220,4,-1
35010,36,3,229,7,206,220,220,4,-1
44002,45,3,55,16,215,15,203,4,-1
5071,6,3,207,7,206,220,220,4,-1
9011,10,12,139,9,139,190,190,5,-1
5085,6,3,206,7,206,220,220,5,-1
5086,6,3,207,7,206,220,220,5,-1
5088,6,3,208,7,206,220,220,5,-1
35021,36,3,228,7,206,221,221,5,-1
35020,36,3,229,7,206,220,220,5,-1
5089,6,3,208,7,206,221,221,5,-1
35019,36,3,209,7,206,220,220,5,-1
35018,36,3,229,7,206,221,221,5,-1
11003,12,3,240,7,210,16,221,5,-1
1010,2,3,55,7,210,3,570,5,-1
21010,22,3,55,16,215,3,570,5,-1
3005,4,3,55,7,210,15,203,5,-1
7019,8,3,250,10,250,202,202,5,-1
44005,45,3,55,16,215,15,203,5,-1
7002,8,3,250,10,250,102,102,41,-1
7010,8,3,250,10,250,103,103,42,-1
7015,8,3,250,10,250,103,103,43,-1
7023,8,3,250,10,250,103,103,44,-1
18001,19,30,203,7,400,18,176,46,-1
45001,46,2,251,15,187,-1,130,48,-1
4020,5,5,89,7,210,20,205,51,-1
4017,5,5,89,7,210,20,205,52,-1
4021,5,5,89,7,210,20,205,53,-1
4007,5,5,89,7,210,20,205,54,-1
4008,5,5,189,7,210,21,207,55,-1
5002,6,3,206,7,206,207,207,55,-1
5026,6,3,205,7,206,207,207,55,-1
4018,5,5,190,7,210,21,207,55,-1
4009,5,5,189,7,210,21,207,56,-1
5003,6,3,206,7,206,207,207,56,-1
4013,5,5,190,7,210,21,207,56,-1
5027,6,3,205,7,206,207,207,56,-1
5063,6,3,223,7,206,207,207,56,-1
4016,5,5,190,7,210,21,207,57,-1
5058,6,3,206,7,206,207,207,57,-1
5064,6,3,223,7,206,207,207,57,-1
5014,6,3,206,7,206,175,175,60,-1
5015,6,3,206,7,206,172,172,60,-1
5016,6,3,206,7,206,161,161,60,-1
6001,7,3,212,7,214,174,174,60,-1
35003,36,3,209,7,206,175,175,60,-1
35006,36,3,228,7,206,175,175,60,-1
5038,6,3,205,7,206,175,175,60,-1
5039,6,3,205,7,206,172,172,60,-1
5040,6,3,205,7,206,161,161,60,-1
5045,6,3,215,7,206,175,175,60,-1
5046,6,3,208,7,206,175,175,60,-1
5049,6,3,208,7,206,90,90,60,-1
5067,6,3,207,7,206,10,10,60,-1
4023,5,5,190,7,210,21,207,70,-1
5080,6,3,223,7,206,207,207,70,-1
5069,6,3,206,7,206,431,431,120,-1
41001,42,3,60,16,215,63,478,122,-1
5021,6,3,215,7,206,516,516,140,-1
35009,36,3,228,7,206,516,516,140,-1
4010,5,5,189,7,210,24,294,171,-1
4012,5,5,189,7,210,24,294,172,-1
4022,5,5,189,7,210,56,297,173,-1
4024,5,5,189,7,210,56,297,174,-1
4,1,3,55,7,210,0,605,200,-1
30004,31,3,55,7,210,1,623,200,-1
31004,32,3,55,7,210,2,627,200,-1
16,1,3,54,7,210,0,605,200,-1
30010,31,3,54,7,210,1,623,200,-1
31009,32,3,54,7,210,2,627,200,-1
5,1,3,55,7,210,0,605,201,-1
5006,6,3,206,7,206,624,624,201,-1
30005,31,3,55,7,210,1,623,201,-1
31005,32,3,55,7,210,2,627,201,-1
17,1,3,54,7,210,0,605,201,-1
31010,32,3,54,7,210,2,627,201,-1
5030,6,3,205,7,206,624,624,201,-1
30017,31,3,54,7,210,1,623,201,-1
6,1,3,55,7,210,0,605,202,-1
30006,31,3,55,7,210,1,623,202,-1
18,1,3,54,7,210,0,605,202,-1
30011,31,3,54,7,210,1,623,202,-1
7,1,3,55,7,210,0,605,203,-1
5007,6,3,206,7,206,624,624,203,-1
30007,31,3,55,7,210,1,623,203,-1
31006,32,3,55,7,210,2,627,203,-1
19,1,3,54,7,210,0,605,203,-1
30012,31,3,54,7,210,1,623,203,-1
31011,32,3,54,7,210,2,627,203,-1
5031,6,3,205,7,206,624,624,203,-1
8,1,3,55,7,210,0,605,204,-1
23,1,3,54,7,210,0,605,204,-1
30008,31,3,55,7,210,1,623,204,-1
31007,32,3,55,7,210,2,627,204,-1
30018,31,3,54,7,210,1,623,204,-1
31016,32,3,54,7,210,2,627,204,-1
9,1,3,55,7,210,0,605,205,-1
5008,6,3,206,7,206,624,624,205,-1
24,1,3,54,7,210,0,605,205,-1
