#obsname:text,obstype:int,obsnamesq:text,obstypesq:int,obstype_descr:text,codename:text,codetype:int,codenamesq:text,codetypesq:int,codetype_descr:text,varclass:text,geoarea:int,reportype:int,levtype:text,nlevs:int,levs:text,oevars:text,obs_error:text
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NLDTCD,35,NLDTCDSQ,1,1.5.1 LAND TEMP REPORT,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NSHTCD,36,NSHTCDSQ,2,1.5.2 TEMP SHIP REPORT,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NTDROP,135,NTDROPSQ,3,1.5.3 TEMP-DROP REPORT,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NROCOB,39,NROCOBSQ,4,1.5.4 ROCOB REPORT,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NROCSH,40,NROCSHSQ,5,1.5.5 ROCOB SHIP REPORT,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NMBTMP,37,NMBTMPSQ,6,1.5.6 MOBILE TEMP REPORT,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NSIMTE,137,NSIMTESQ,7,1.5.7 SIMULATED TEMP STATION CODE TYPE,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NLBTEM,109,NLBTEMSQ,8,1.5.8 BUFR Land TEMP,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NSBTEM,111,NSBTEMSQ,9,1.5.9 BUFR Ship TEMP,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
NTEMP,5,NTEMPSQ,5,1.5 TEMP,NDBTEM,230,NDBTEMSQ,10,1.5.10 BUFR TEMP DROP,WIND,1,-1,stdlevs,15,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,3.24:3.24:3.61:4.41:6.25:6.76:6.25:6.25:5.76:4.84:4.41:4:4.41:5.29:9,1.8:1.8:1.9:2.1:2.5:2.6:2.5:2.5:2.4:2.2:2.1:2:2.1:2.3:3
