id	description	group	bufrtype	subtype	obstype	codetype
16001	Automatic Land SYNOP	CONV	Land Surface	Automatic Land SYNOP	SYNOP	Automatic Land SYNOP
16002	Manual Land SYNOP	CONV	Land Surface	Manual Land SYNOP	SYNOP	Manual Land SYNOP
16003	Abbreviated SYNOP	CONV	Land Surface	Abbreviated SYNOP	SYNOP	Manual Land SYNOP
16004	METAR	CONV	Land Surface	METAR	SYNOP	METAR
16005	DRIBU	CONV	Sea Surface	DRIBU	BUOY	DRIBU
16006	Automatic SHIP	CONV	Sea Surface	Automatic SHIP	SYNOP	Automatic SHIP
16007	Reduced SHIP	CONV	Sea Surface	Reduced SHIP	SYNOP	Reduced SHIP
16008	SHIP	CONV	Sea Surface	SHIP	SYNOP	SHIP
16009	Abbreviated SHIP	CONV	Sea Surface	Abbreviated SYNOP	SYNOP	SHIP
16010	DRIBU-BATHY	CONV	Sea Surface	DRIBU-BATHY	BUOY	DRIBU-BATHY
16011	DRIBU-TESAC	CONV	Sea Surface	DRIBU-TESAC	BUOY	DRIBU-TESAC
16012	Ground-Based GPS	CONV	Sea Surface	Ground-based GPS	SYNOP	Ground-based GPS
16013	Land PILOT	CONV	Upper Air Sounding	PILOT	PILOT	Land PILOT
16014	PILOT SHIP	CONV	Upper Air Sounding	PILOT SHIP	PILOT	PILOT SHIP
16015	American Wind Profiler 1	CONV	Upper Air Sounding	American Wind Profiler 1	PILOT	American Wind Profiler
16016	American Wind Profiler 2	CONV	Upper Air Sounding	Wind Profiler	PILOT	American Wind Profiler
16017	European Wind Profiler	CONV	Upper Air Sounding	Wind Profiler	PILOT	European Wind Profiler
16018	Japanese Wind Profiler	CONV	Upper Air Sounding	Wind Profiler	PILOT	Japanese Wind Profiler
16019	TEMP SHIP	CONV	Upper Air Sounding	TEMP SHIP	TEMP	TEMP SHIP
16020	DROP Sonde	CONV	Upper Air Sounding	DROP Sonde	TEMP	DROP Sonde
16021	Mobile TEMP	CONV	Upper Air Sounding	MOBILE TEMP	TEMP	MOBILE TEMP
16022	Land TEMP	CONV	Upper Air Sounding	Land TEMP	TEMP	Land TEMP
16023	ROCOB TEMP	CONV	Upper Air Sounding	ROCOB TEMP	TEMP	ROCOB TEMP
16024	SHIP ROCOB TEMP	CONV	Upper Air Sounding	SHIP ROCOB TEMP	TEMP	SHIP ROCOB TEMP
16026	AIREP	CONV	AIREP	AIREP	AIREP	AIREP
16027	CODAR	CONV	AIREP	AIREP	AIREP	CODAR
16028	COLBA	CONV	AIREP	COLBA	AIREP	COLBA
