id	description	group	bufrtype	subtype	obstype	codetype	sensor	satellite_instrument	satellite_identifier	accumulation_length
16001	Automatic Land SYNOP	CONV	Land Surface	Automatic Land SYNOP	SYNOP	Automatic Land SYNOP	-1	-1	-1	-1
16002	Manual Land SYNOP	CONV	Land Surface	Manual Land SYNOP	SYNOP	Manual Land SYNOP	-1	-1	-1	-1
16003	Abbreviated SYNOP	CONV	Land Surface	Abbreviated SYNOP	SYNOP	Manual Land SYNOP	-1	-1	-1	-1
16004	METAR	CONV	Land Surface	METAR	SYNOP	METAR	-1	-1	-1	-1
16005	DRIBU	CONV	Sea Surface	DRIBU	BUOY	DRIBU	-1	-1	-1	-1
16006	Automatic SHIP	CONV	Sea Surface	Automatic SHIP	SYNOP	Automatic SHIP	-1	-1	-1	-1
16007	Reduced SHIP	CONV	Sea Surface	Reduced SHIP	SYNOP	Reduced SHIP	-1	-1	-1	-1
16008	SHIP	CONV	Sea Surface	SHIP	SYNOP	SHIP	-1	-1	-1	-1
16009	Abbreviated SHIP	CONV	Sea Surface	Abbreviated SYNOP	SYNOP	SHIP	-1	-1	-1	-1
16010	DRIBU-BATHY	CONV	Sea Surface	DRIBU-BATHY	BUOY	DRIBU-BATHY	-1	-1	-1	-1
16011	DRIBU-TESAC	CONV	Sea Surface	DRIBU-TESAC	BUOY	DRIBU-TESAC	-1	-1	-1	-1
16012	Ground-Based GPS	CONV	Sea Surface	Ground-based GPS	SYNOP	Ground-based GPS	-1	-1	-1	-1
16013	Land PILOT	CONV	Upper Air Sounding	PILOT	PILOT	Land PILOT	-1	-1	-1	-1
16014	PILOT SHIP	CONV	Upper Air Sounding	PILOT SHIP	PILOT	PILOT SHIP	-1	-1	-1	-1
16015	American Wind Profiler 1	CONV	Upper Air Sounding	American Wind Profiler 1	PILOT	American Wind Profiler	-1	-1	-1	-1
16016	American Wind Profiler 2	CONV	Upper Air Sounding	Wind Profiler	PILOT	American Wind Profiler	-1	-1	-1	-1
16017	European Wind Profiler	CONV	Upper Air Sounding	Wind Profiler	PILOT	European Wind Profiler	-1	-1	-1	-1
16018	Japanese Wind Profiler	CONV	Upper Air Sounding	Wind Profiler	PILOT	Japanese Wind Profiler	-1	-1	-1	-1
16019	TEMP SHIP	CONV	Upper Air Sounding	TEMP SHIP	TEMP	TEMP SHIP	-1	-1	-1	-1
16020	DROP Sonde	CONV	Upper Air Sounding	DROP Sonde	TEMP	DROP Sonde	-1	-1	-1	-1
16021	Mobile TEMP	CONV	Upper Air Sounding	MOBILE TEMP	TEMP	MOBILE TEMP	-1	-1	-1	-1
16022	Land TEMP	CONV	Upper Air Sounding	Land TEMP	TEMP	Land TEMP	-1	-1	-1	-1
16023	ROCOB TEMP	CONV	Upper Air Sounding	ROCOB TEMP	TEMP	ROCOB TEMP	-1	-1	-1	-1
16024	SHIP ROCOB TEMP	CONV	Upper Air Sounding	SHIP ROCOB TEMP	TEMP	SHIP ROCOB TEMP	-1	-1	-1	-1
16026	AIREP	CONV	AIREP	AIREP	AIREP	AIREP	-1	-1	-1	-1
16027	CODAR	CONV	AIREP	AIREP	AIREP	CODAR	-1	-1	-1	-1
16028	COLBA	CONV	AIREP	COLBA	AIREP	COLBA	-1	-1	-1	-1
16029	AMDAR	CONV	AIREP	AMDAR	AIREP	AMDAR	-1	-1	-1	-1
16030	ACARS	CONV	AIREP	ACARS	AIREP	ACARS	-1	-1	-1	-1
16031	PAOB	CONV	PAOB	PAOB	PAOB	PAOB	-1	-1	-1	-1
16032	PAOB via Sat code	CONV	Satellite Sounding	PAOB	PAOB	PAOB	-1	-1	-1	-1
16037	SATEM 500km Low Level Temperature	CONV	Satellite Sounding	500km Low Level Temperature	SATEM	SATEM	-1	-1	-1	-1
16038	SATEM 500km PWC	CONV	Satellite Sounding	500km PWC	SATEM	SATEM	-1	-1	-1	-1
16039	SATEM 500km High Level Temperature	CONV	Satellite Sounding	500km High Level Temperature	SATEM	SATEM	-1	-1	-1	-1
16040	SATEM 500km Merged	CONV	Satellite Sounding	500km Merged	SATEM	SATEM	-1	-1	-1	-1
16041	SATEM 250km Low Level Temperature	CONV	Satellite Sounding	250km Low Level Temperature	SATEM	SATEM	-1	-1	-1	-1
16042	SATEM 250km PWC	CONV	Satellite Sounding	250km PWC	SATEM	SATEM	-1	-1	-1	-1
16043	SATEM 250km High Level Temperature	CONV	Satellite Sounding	250km High Level Temperature	SATEM	SATEM	-1	-1	-1	-1
16044	SATEM 250km Merged	CONV	Satellite Sounding	250km Merged	SATEM	SATEM	-1	-1	-1	-1
16084	BUFR DRIFTING BUOYS	CONV	Sea Surface	BUFR DRIFTING BUOYS	BUOY	BUFR DRIFTING BUOYS	-1	-1	-1	-1
16083	BUFR MOORED BUOYS	CONV	Sea Surface	BUFR MOORED BUOYS	BUOY	BUFR MOORED BUOYS	-1	-1	-1	-1
16082	WIGOS AMDAR	CONV	AIREP	WIGOS AMDAR	AIREP	WIGOS AMDAR	-1	-1	-1	-1
16074	BUFR SHIP SYNOP	CONV	Sea Surface	BUFR SHIP SYNOP	SYNOP	BUFR SHIP SYNOP	-1	-1	-1	-1
16069	BUFR SHIP PILOT	CONV	Upper Air Sounding	BUFR SHIP PILOT	PILOT	BUFR SHIP PILOT	-1	-1	-1	-1
16068	BUFR LAND PILOT	CONV	Upper Air Sounding	BUFR LAND PILOT	PILOT	BUFR LAND PILOT	-1	-1	-1	-1
16065	Automatic METAR	CONV	Land Surface	AUTO METAR	SYNOP	METAR	-1	-1	-1	-1
16045	BUFR LAND TEMP	CONV	Upper Air Sounding	Land High Resolution Temp	TEMP	Land High Resolution Temp	-1	-1	-1	-1
16046	BUFR SHIP TEMP	CONV	Upper Air Sounding	SHIP High Resolution TEMP	TEMP	SHIP High Resolution TEMP	-1	-1	-1	-1
16066	TAMDAR	CONV	AIREP	TAMDAR	AIREP	TAMDAR	-1	-1	-1	-1
25001	Ground-Based Radar	GBRAD	Ground-based radar	Radar rain rate	Ground-based weather radar	Radar Rain Rates	-1	-1	-1	-1
16067	ACARs with mixing ratio	CONV	AIREP	ACARs with mixing ratio	AIREP	ACARs with mixing ratio	-1	-1	-1	-1
16025	Additional Land Surface Data	CONV	Land Surface	SNOW DEPTH	SYNOP	Additional Land Surface Data	-1	-1	-1	-1
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP	SYNOP	BUFR LAND SYNOP	-1	-1	-1	-1
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP 2	SYNOP	BUFR LAND SYNOP	-1	-1	-1	-1
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP WMO Region 6	SYNOP	BUFR LAND SYNOP	-1	-1	-1	-1
16076	BUFR LAND SYNOP	CONV	Land Surface	BUFR LAND SYNOP 1 HOURLY	SYNOP	BUFR LAND SYNOP 1 HOURLY	-1	-1	-1	-1
16086	BUFR TEMP DROP	CONV	Upper Air Sounding	BUFR TEMP DROP	TEMP	BUFR TEMP DROP	-1	-1	-1	-1
16087	BUFR TEMP DESCENT	CONV	Upper Air Sounding	BUFR TEMP DESCENT	TEMP	BUFR TEMP DESCENT	-1	-1	-1	-1
16088	Mode-S	CONV	AIREP	Mode-S	AIREP	Mode-S	-1	-1	-1	-1
16089	ADS-C	CONV	AIREP	ADS-C	AIREP	ADS-C	-1	-1	-1	-1
16090	Crowd AWS	CONV	Land Surface	Crowd AWS	SYNOP	Crowd AWS	-1	-1	-1	-1
9001	Old ERS 1 Scatterometer	SCATT	ERS-SSMI-SCAT	ERS-1	Scatterometer	Old ERS 1	Scatterometer	SCATTEROMETER	ERS 1	-1
9002	New ERS 1 Scatterometer	SCATT	ERS-SSMI-SCAT	ERS	Scatterometer	ERS	Scatterometer	SCATTEROMETER	ERS 1	-1
5001	ERS 2 GOME O3	RESAT	Satellite Sounding	Retrieved O3 Layers	SATEM	Retrieved Atmospheric Constituents	GOME	GOME	ERS 2	-1
9003	ERS 2 Scatterometer	SCATT	ERS-SSMI-SCAT	ERS	Scatterometer	ERS	Scatterometer	SCATTEROMETER	ERS 2	-1
35002	ERS-2 GOME layer integrated mass density with averaging kernels	RESAT Averaging Kernels	Satellite Sounding	Layer integrated mass density with averaging kernels	SATEM	Retrieved Atmospheric Constituents	GOME	GOME	ERS 2	-1
