id	kind	name	marsname	description
17	Conventional	CONV	CONV	 
26	Conventional	GBRAD	GBRAD	 
41	Conventional	SURFACE MULTISENSOR	SFC_MS	SURFACE MULTISENSOR
54	Conventional	Atmospheric composition	ATMOSPHERIC_COMPOSITION	Atmospheric composition
66	Conventional	OCONV	OCONV	Ocean conventional in situ
1	SATEM	HIRS	HIRS	 
2	SATEM	AMSUA	AMSUA	 
3	SATEM	AMSUB	AMSUB	 
4	SATEM	MHS	MHS	 
5	SATEM	GEOS	GEOS	 
6	SATEM	RESAT	RESAT	 
7	SATEM	MERIS	MERIS	 
8	SATEM	GPSRO	GPSRO	 
10	SATEM	SCATT	SCATT	 
11	SATEM	SSMI All-sky	SSMI_AS	 
12	SATEM	IASI	IASI	 
13	SATEM	AIRS	AIRS	 
14	SATEM	SSMIS All-sky	SSMIS_AS	 
15	SATEM	TMI All-sky	TMI_AS	 
16	SATEM	AMSRE All-sky	AMSRE_AS	 
19	SATEM	SMOS	SMOS	 
20	SATEM	WINDSAT All-sky	WINDSAT_AS	 
21	SATEM	SSMI	SSMI	 
22	SATEM	AMSUA All-sky	AMSUA_AS	 
23	SATEM	AMSRE	AMSRE	 
24	SATEM	TMI	TMI	 
25	SATEM	SSMIS	SSMIS	 
27	SATEM	MWHS	MWHS	 
28	SATEM	MWTS	MWTS	 
29	SATEM	MWRI All-sky	MWRI_AS	 
30	SATEM	IRAS	IRAS	 
31	SATEM	MSU	MSU	 
32	SATEM	SSU	SSU	 
33	SATEM	VTPR1	VTPR1	 
34	SATEM	VTPR2	VTPR2	 
35	SATEM	ATMS	ATMS	 
36	SATEM	RESAT Averaging Kernels	RESAT_AK	 
37	SATEM	CRIS	CRIS	Cross-track Infrared Sounder
42	SATEM	AMSR-2 All-sky	AMSR2_AS	AMSR-2 All-sky
43	SATEM	SAPHIR All-sky	SAPHIR_AS	SAPHIR All-sky
44	SATEM	AMSUB All-sky	AMSUB_AS	AMSUB All-sky
45	SATEM	MHS All-sky	MHS_AS	MHS All-sky
46	SATEM	Doppler Wind Lidar	DWL	Doppler Wind Lidar
47	SATEM	IRIS	IRIS	Infrared Interferometer Spectrometer
50	SATEM	ATMS All-sky	ATMS_AS	ATMS All-sky
49	SATEM	AATSR	AATSR	Advanced Along Track Scanning Radiometer
51	SATEM	GMI All-sky	GMI_AS	GMI All-sky
56	SATEM	MWTS2	MWTS2	Microwave Temperature Sounder 2
57	SATEM	SSMI 1DVAR TCWV Cloudy-Sky	SSMI_1D	SSMI 1DVAR TCWV Cloudy-Sky
58	SATEM	MWHS2 All-sky	MWHS2_AS	Microwave Humidity Sounder 2
59	SATEM	SSMT2	SSMT2	SSMT2
60	SATEM	SMAP	SMAP	Soil Moisture Active and Passive
62	SATEM	Cloud reflectivity	CLOUD_R	Cloud reflectivity
63	SATEM	Cloud Lidar	CLOUD_L	Cloud Lidar
9	SATOB	SATOB	SATOB	 
38	SATOB	WAVE integrated Parameters	WAVE_IP	WAVE integrated Parameters
39	SATOB	WAVE spectra	WAVE_SP	WAVE spectra
99	TEST	TEST	TEST	 
52	TEST	GODAE Sea Surface Temperatures	GODAE_SST	GODAE Sea Surface Temperatures
53	TEST	ATOVS MULTISENSOR	ATOVS_MS	ATOVS MULTISENSOR
55	TEST	NON-SURFACE MULTISENSOR	NON_SFC_MS	NON-SURFACE MULTISENSOR
61	TEST	TOVS MULTISENSOR	TOVS_MS	TOVS MULTISENSOR
40	Accumulation	RAINGG	RAINGG	Rain Gauge
