code	description	group	status	date	cycle
1	TIROS-N HIRS Radiances	HIRS	Operational	2013-11-19	40r1
2	NOAA 6 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
3	NOAA 7 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
4	NOAA 8 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
5	NOAA 9 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
6	NOAA 10 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
7	NOAA 11 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
8	NOAA 12 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
9	NOAA 14 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
10	NOAA 15 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
11	NOAA 16 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
12	NOAA 17 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
13	NOAA 18 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
14	NOAA 19 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
15	METOP-A HIRS Radiances	HIRS	Operational	2013-11-19	40r1
16	NOAA 8 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
17	NOAA 9 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
18	NOAA 10 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
19	NOAA 11 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
20	NOAA 6 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
21	NOAA 7 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
22	TIROS-N HIRS Radiances	HIRS	Operational	2013-11-19	40r1
23	NOAA 12 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
24	NOAA 14 HIRS Radiances	HIRS	Operational	2013-11-19	40r1
25	METOP-B HIRS Radiances	HIRS	Operational	2013-11-19	40r1
1001	NOAA 15 AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1002	NOAA 16 AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1003	NOAA 17 AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1004	NOAA 18 AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1005	NOAA 19 AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1007	METOP-A AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1008	AQUA AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1009	METOP-B AMSUA Radiances	AMSUA	Operational	2013-11-19	40r1
1010	METOP-C AMSUA Radiances	AMSUA	Operational	2018-11-08	46r1
2001	NOAA 15 AMSUB Radiances	AMSUB	Operational	2013-11-19	40r1
2002	NOAA 16 AMSUB Radiances	AMSUB	Operational	2013-11-19	40r1
2003	NOAA 17 AMSUB Radiances	AMSUB	Operational	2013-11-19	40r1
2004	NOAA 18 AMSUB Radiances	AMSUB	Operational	2013-11-19	40r1
3001	NOAA 19 MHS Radiances	MHS	Operational	2013-11-19	40r1
3002	METOP-A MHS Radiances	MHS	Operational	2013-11-19	40r1
3003	NOAA 18 MHS Radiances	MHS	Operational	2013-11-19	40r1
3004	METOP-B MHS Radiances	MHS	Operational	2013-11-19	40r1
3005	METOP-C MHS Radiances	MHS	Operational	2018-11-08	46r1
4002	GOES 8 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4003	GOES 9 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4004	GOES 10 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4005	GOES 11 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4006	GOES 12 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4007	METEOSAT 7 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4008	METEOSAT 8 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4009	METEOSAT 9 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4010	MTSAT-1R GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4011	GOES 13 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4012	MTSAT-2 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4013	METEOSAT 9 GEOS Allsky Radiances	GEOS	Operational	2013-11-19	40r1
4014	GOES 14 GEOS Radiances 	GEOS	Operational	2013-11-19	40r1
4015	GOES 15 GEOS Radiances 	GEOS	Operational	2013-11-19	40r1
4016	METEOSAT 10 GEOS Allsky Radiances	GEOS	Operational	2013-11-19	40r1
4017	METEOSAT 5 GEOS Radiances	GEOS	Operational	2013-11-19	40r1
4018	METEOSAT 8 GEOS Allsky Radiances	GEOS	Operational	2013-11-19	40r1
4019	COMS-1 GEOS Radiances 	GEOS	Operational	2014-05-02	40r3
4020	METEOSAT 4 GEOS Radiances	GEOS	Operational	2014-09-03	40r3
4021	METEOSAT 6 GEOS Radiances	GEOS	Operational	2014-09-03	40r3
4022	Himawari 8 GEOS radiances	GEOS	Operational	2015-08-06	40r1
4023	METEOSAT 11 GEOS Allsky Radiances	GEOS	Operational	2015-10-16	40r3
4024	Himawari 9 GEOS radiances	GEOS	Operational	2017-07-06	45r1
4025	GOES 16 GEOS Radiances	GEOS	Operational	2018-04-17	45r1
4026	GOES 17 GEOS Radiances	GEOS	Operational	2019-11-28	46r1
5001	ERS 2 GOME O3	RESAT	Operational	2013-11-19	40r1
5002	METEOSAT 8 SEVIRI O3	RESAT	Operational	2013-11-19	40r1
5003	METEOSAT 9 SEVIRI O3	RESAT	Operational	2013-11-19	40r1
5004	AURA MLS O3	RESAT	Operational	2013-11-19	40r1
5005	AURA OMI O3	RESAT	Operational	2013-11-19	40r1
