code	description
0	HIRS
1	MSU
2	SSU
3	AMSUA
4	AMSUB
6	SSM/I
7	VTPR1
8	VTPR2
9	TMI
10	SSMIS
11	AIRS
15	MHS
16	IASI
17	AMSRE
18	MIRAS
19	ATMS
20	MVIRI
21	SEVIRI RADIANCES
22	IMAGER
24	MTSATIMG
30	WINDSAT
40	MWTS
41	MWHS
42	IRAS
43	MWRI
90	MOPITT
27	CRIS
102	GPS
103	IGOR
150	Scatterometer
161	MIPAS
170	GOME
172	GOMOS
174	MERIS
175	SCIAMACHY
190	ASCAT
202	GRAS
207	SEVIRI
220	GOME-2
221	IASI
288	OSCAT
313	SeaWinds
387	MLS
389	MODIS
394	OMI
431	TOMS
516	TANSO-FTS
624	SBUV-2
63	AMSR-2
616	VIIRS
303	CALIOP
69	IRIS
947	OMPS
45	COMS MI
71	GMI
73	MWHS2
72	MWTS2
33	SSM/T-2
314	RSCAT
686	HSCAT
432	SMAP
56	AHI
34	SAPHIR
91	OSIRIS
92	ACE-FTS
959	SMR
958	GNOS
287	ROSA
152	TROPOMI
44	ABI
309	CPR
943	FSCAT
180	SLSTR
-1	MISSING
104	Tri-G
530	SGNOS-A
97	HIRAS
94	IKFS2
