id	description	group_id	group	bufrtype_id	bufrtype	subtype_id	subtype	obstype_id	obstype	codetype_id	codetype	sensor_id	sensor	satellite_instrument_id	satellite_instrument	satellite_identifier_id	satellite_identifier	accumulation_length
16001	Automatic Land SYNOP	17	CONV	0	Land Surface	3	Automatic Land SYNOP	1	SYNOP	14	Automatic Land SYNOP	-1	-1	-1	-1	-1	-1	-1
16002	Manual Land SYNOP	17	CONV	0	Land Surface	1	Manual Land SYNOP	1	SYNOP	11	Manual Land SYNOP	-1	-1	-1	-1	-1	-1	-1
16003	Abbreviated SYNOP	17	CONV	0	Land Surface	9	Abbreviated SYNOP	1	SYNOP	11	Manual Land SYNOP	-1	-1	-1	-1	-1	-1	-1
16004	METAR	17	CONV	0	Land Surface	140	METAR	1	SYNOP	140	METAR	-1	-1	-1	-1	-1	-1	-1
16005	DRIBU	17	CONV	1	Sea Surface	21	DRIBU	4	BUOY	165	DRIBU	-1	-1	-1	-1	-1	-1	-1
16006	Automatic SHIP	17	CONV	1	Sea Surface	13	Automatic SHIP	1	SYNOP	24	Automatic SHIP	-1	-1	-1	-1	-1	-1	-1
16007	Reduced SHIP	17	CONV	1	Sea Surface	19	Reduced SHIP	1	SYNOP	23	Reduced SHIP	-1	-1	-1	-1	-1	-1	-1
16008	SHIP	17	CONV	1	Sea Surface	11	SHIP	1	SYNOP	21	SHIP	-1	-1	-1	-1	-1	-1	-1
16009	Abbreviated SHIP	17	CONV	1	Sea Surface	9	Abbreviated SYNOP	1	SYNOP	21	SHIP	-1	-1	-1	-1	-1	-1	-1
16010	DRIBU-BATHY	17	CONV	1	Sea Surface	22	DRIBU-BATHY	4	BUOY	63	DRIBU-BATHY	-1	-1	-1	-1	-1	-1	-1
16011	DRIBU-TESAC	17	CONV	1	Sea Surface	23	DRIBU-TESAC	4	BUOY	64	DRIBU-TESAC	-1	-1	-1	-1	-1	-1	-1
16012	Ground-Based GPS	17	CONV	1	Sea Surface	110	Ground-based GPS	1	SYNOP	110	Ground-based GPS	-1	-1	-1	-1	-1	-1	-1
16013	Land PILOT	17	CONV	2	Upper Air Sounding	91	PILOT	6	PILOT	32	Land PILOT	-1	-1	-1	-1	-1	-1	-1
16014	PILOT SHIP	17	CONV	2	Upper Air Sounding	92	PILOT SHIP	6	PILOT	33	PILOT SHIP	-1	-1	-1	-1	-1	-1	-1
16015	American Wind Profiler 1	17	CONV	2	Upper Air Sounding	95	American Wind Profiler 1	6	PILOT	34	American Wind Profiler	-1	-1	-1	-1	-1	-1	-1
16016	American Wind Profiler 2	17	CONV	2	Upper Air Sounding	96	Wind Profiler	6	PILOT	34	American Wind Profiler	-1	-1	-1	-1	-1	-1	-1
16017	European Wind Profiler	17	CONV	2	Upper Air Sounding	96	Wind Profiler	6	PILOT	134	European Wind Profiler	-1	-1	-1	-1	-1	-1	-1
