 type   sat      day     hms     lat     lon     pre   spd   dir
WV10   GOES12  20050825  2245   40.98    73.35   225   25.9  325
WV10   GOES12  20050825  2245   38.94    74.72   325   26.1  321
WV10   GOES12  20050825  2245   37.75    74.60   337   23.6  319
WV10   GOES12  20050825  2245   37.49    73.90   300   22.7  314
WV10   GOES12  20050825  2245   36.98    75.66   137   23.0  305
WV10   GOES12  20050825  2245   36.85    73.90   150   27.0  318
WV10   GOES12  20050825  2245   36.34    75.42   137   21.9  304
WV10   GOES12  20050825  2245   35.71    74.95   150   24.6  308
WV10   GOES12  20050825  2245   32.56    71.30   450   12.5  296
WV10   GOES12  20050825  2245   29.44    89.82   150    9.2   71
WV10   GOES12  20050825  2245   28.90    94.83   175   13.3   96
WV10   GOES12  20050825  2245   28.78    94.57   175   13.7   96
WV10   GOES12  20050825  2245   28.83    87.62   150    7.0   70
WV10   GOES12  20050825  2245   28.23    94.78   175   15.9  101
WV10   GOES12  20050825  2245   28.09    93.61   137   17.8   93
WV10   GOES12  20050825  2245   28.18    92.84   287   14.0   92
WV10   GOES12  20050825  2245   28.28    92.63   275   13.6   88
WV10   GOES12  20050825  2245   28.23    90.83   137   13.5   81
WV10   GOES12  20050825  2245   28.21    90.05   300    7.1   86
WV10   GOES12  20050825  2245   28.16    87.74   275    6.5   86
WV10   GOES12  20050825  2245   27.82    87.04   275    6.6   84
WV10   GOES12  20050825  2245   27.39    92.23   287   14.0   94
WV10   GOES12  20050825  2245   27.31    88.92   262    8.4   96
WV10   GOES12  20050825  2245   27.08    88.34   275    7.1  102
WV10   GOES12  20050825  2245   27.28    87.72   200    6.2   99
WV10   GOES12  20050825  2245   27.14    72.13   312    9.6  343
WV10   GOES12  20050825  2245   26.39    91.38   325   18.2   87
WV10   GOES12  20050825  2245   26.81    90.69   287   13.3   94
WV10   GOES12  20050825  2245   26.75    88.29   212    7.1  102
WV10   GOES12  20050825  2245   26.52    87.41   200    5.5   89
WV10   GOES12  20050825  2245   26.02    93.85   212   13.6   78
WV10   GOES12  20050825  2245   25.90    93.16   212   13.7   80
WV10   GOES12  20050825  2245   25.96    86.06   150    4.6   98
WV10   GOES12  20050825  2245   25.94    94.75   275    8.7   99
WV10   GOES12  20050825  2245   25.58    93.45   212   12.4   78
WV10   GOES12  20050825  2245   25.57    92.90   212   13.5   79
WV10   GOES12  20050825  2245   26.06    91.24   300   18.6   84
WV10   GOES12  20050825  2245   25.76    87.01   225    6.8   91
WV10   GOES12  20050825  2245   25.85    86.07   150    5.1   96
WV10   GOES12  20050825  2245   25.85    85.76   150    4.9  101
WV10   GOES12  20050825  2245   25.83    84.71   150    8.8   97
WV10   GOES12  20050825  2245   25.86    72.29   400    5.3   51
WV10   GOES12  20050825  2245   25.37    93.52   212   13.1   74
WV10   GOES12  20050825  2245   25.15    93.04   212   12.8   75
WV10   GOES12  20050825  2245   25.34    92.09   300   13.7   80
WV10   GOES12  20050825  2245   24.72    87.93   237    9.9  105
WV10   GOES12  20050825  2245   25.23    86.84   225    8.5   91
WV10   GOES12  20050825  2245   25.22    86.21   150    6.1   90
WV10   GOES12  20050825  2245   24.88    84.61   162   11.1   95
WV10   GOES12  20050825  2245   24.62    93.38   175   11.2   72
WV10   GOES12  20050825  2245   23.97    86.80   175   10.9  118
WV10   GOES12  20050825  2245   24.45    83.95   137   12.7   90
WV10   GOES12  20050825  2245   24.27    73.13   250    4.0   42
WV10   GOES12  20050825  2245   24.07    70.62   387    6.8   45
WV10   GOES12  20050825  2245   23.27    93.68   137    8.7   62
WV10   GOES12  20050825  2245   23.46    93.18   312    8.5   66
WV10   GOES12  20050825  2245   23.55    86.75   175   12.9  120
WV10   GOES12  20050825  2245   23.23    86.10   162   15.2  107
WV10   GOES12  20050825  2245   22.87    94.59   137    4.4   74
WV10   GOES12  20050825  2245   22.91    85.96   237   15.0   98
WV10   GOES12  20050825  2245   22.36    94.50   275    5.5   90
WV10   GOES12  20050825  2245   22.23    93.72   275    5.5   90
WV10   GOES12  20050825  2245   21.94    89.04   137   18.5  136
WV10   GOES12  20050825  2245   22.20    85.99   212   16.8  105
WV10   GOES12  20050825  2245   21.43    94.56   287    5.3   99
WV10   GOES12  20050825  2245   21.36    91.15   137   11.2  124
WV10   GOES12  20050825  2245   21.48    85.52   175   18.3  106
WV10   GOES12  20050825  2245   20.35    91.22   312    8.6  106
WV10   GOES12  20050825  2245   20.53    82.56   212   10.7   91
WV10   GOES12  20050825  2245   20.42    81.67   137   15.6   64
WV10   GOES12  20050825  2245   20.50    78.92   162   15.2   62
WV10   GOES12  20050825  2245   19.88    92.72   312    7.4   61
WV10   GOES12  20050825  2245   19.72    81.14   150   28.1   67
WV10   GOES12  20050825  2245   19.99    74.06   237   10.0   19
WV10   GOES12  20050825  2245   19.40    93.92   312    9.1   56
WV10   GOES12  20050825  2245   19.39    93.49   162    8.9   56
WV10   GOES12  20050825  2245   19.27    92.54   162    9.2   65
WV10   GOES12  20050825  2245   19.05    83.55   162   19.7   84
WV10   GOES12  20050825  2245   19.19    73.96   187    6.0   28
WV10   GOES12  20050825  2245   18.71    94.13   237    9.7   55
WV10   GOES12  20050825  2245   18.79    93.41   162    9.5   59
WV10   GOES12  20050825  2245   18.48    86.27   150   24.0  108
WV10   GOES12  20050825  2245   18.38    85.96   150   23.6  108
WV10   GOES12  20050825  2245   17.80    87.00   225   25.7  112
WV10   GOES12  20050825  2245   17.89    86.42   150   22.3  111
WV10   GOES12  20050825  2245   17.68    84.93   187   19.1   93
WV10   GOES12  20050825  2245   17.78    84.64   212   19.4   95
WV10   GOES12  20050825  2245   18.01    75.50   575    7.3   44
WV10   GOES12  20050825  2245   16.83    87.02   200   23.6  108
WV10   GOES12  20050825  2245   17.29    85.19   187   16.0   97
WV10   GOES12  20050825  2245   17.23    75.78   575   11.8   33
WV10   GOES12  20050825  2245   17.23    75.40   575   10.5   39
WV10   GOES12  20050825  2245   16.73    87.01   200   21.5  105
WV10   GOES12  20050825  2245   15.11    72.39   137   10.4   56
WV10   GOES12  20050825  2245   14.92    72.01   137   10.5   52
WV10   GOES12  20050825  2245   15.30    71.16   137   10.5   35
WV10   GOES12  20050825  2245   14.26    78.01   212    8.1   46
WV10   GOES12  20050825  2245   14.45    77.64   137   15.3   51
WV10   GOES12  20050825  2245   14.35    76.98   150   16.4   51
WV10   GOES12  20050825  2245   14.44    76.23   137   13.9   57
WV10   GOES12  20050825  2245   14.44    74.36   187    9.7   54
WV10   GOES12  20050825  2245   14.53    73.61   175    9.8   51
WV10   GOES12  20050825  2245   14.53    73.24   137    9.7   51
WV10   GOES12  20050825  2245   14.34    72.68   212   11.7   51
WV10   GOES12  20050825  2245   14.25    71.93   237   12.3   53
WV10   GOES12  20050825  2245   14.34    71.27   162   12.0   51
WV10   GOES12  20050825  2245   13.88    90.73   137   10.3   88
WV10   GOES12  20050825  2245   13.98    90.44   137   10.9   96
WV10   GOES12  20050825  2245   13.68    76.69   212   13.9   50
WV10   GOES12  20050825  2245   13.68    75.67   137   12.7   53
WV10   GOES12  20050825  2245   13.77    75.11   162   13.3   49
WV10   GOES12  20050825  2245   13.87    74.64   187   10.9   48
WV10   GOES12  20050825  2245   13.68    73.90   162   10.5   56
WV10   GOES12  20050825  2245   13.87    72.96   150   11.5   52
