 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi
WV10   GOES12  20080827  2255   32.54    79.49   300   11.0  241  77.36  0.94
WV10   GOES12  20080827  2255   32.41    78.16   287    4.9  249  70.43  0.70
WV10   GOES12  20080827  2255   32.07    79.13   300    8.3  257  71.96  0.60
WV10   GOES12  20080827  2255   31.48    78.24   287    4.0  253  66.07  0.73
WV10   GOES12  20080827  2255   31.02    79.20   312    9.5  237  57.55  0.81
WV10   GOES12  20080827  2255   30.66    75.84   312    3.7  268  60.86  0.78
WV10   GOES12  20080827  2255   30.88    75.30   312    3.5  263  62.86  0.85
WV10   GOES12  20080827  2255   29.88    78.82   337    7.7  286  76.69  0.68
WV10   GOES12  20080827  2255   29.99    77.97   212    5.9  292  78.03  0.61
WV10   GOES12  20080827  2255   29.57    88.10   325    6.6  254  57.56  0.65
WV10   GOES12  20080827  2255   29.30    85.98   312   14.2  239  79.19  0.97
WV10   GOES12  20080827  2255   29.17    84.99   287   15.2  243  68.21  0.99
WV10   GOES12  20080827  2255   29.60    83.74   287   15.9  246  75.57  0.91
WV10   GOES12  20080827  2255   29.43    79.13   262    7.9  291  71.31  0.76
WV10   GOES12  20080827  2255   29.43    78.70   262    7.6  293  73.40  0.75
WV10   GOES12  20080827  2255   28.51    85.46   337   14.8  241  61.04  0.92
WV10   GOES12  20080827  2255   28.32    78.76   187    8.8  278  70.43  0.62
WV10   GOES12  20080827  2255   28.64    78.04   187    8.9  282  65.61  0.87
WV10   GOES12  20080827  2255   28.64    77.41   200    6.1  288  60.54  0.50
WV10   GOES12  20080827  2255   28.63    73.94   412    5.4  271  61.27  0.70
WV10   GOES12  20080827  2255   27.79    87.96   325   17.0  228  51.68  0.98
WV10   GOES12  20080827  2255   27.99    87.01   312   18.1  234  57.76  0.94
WV10   GOES12  20080827  2255   27.98    86.58   300   19.8  234  56.45  0.82
WV10   GOES12  20080827  2255   27.95    84.76   225   13.5  237  72.56  0.88
WV10   GOES12  20080827  2255   27.88    79.38   312    6.8  269  64.80  0.74
WV10   GOES12  20080827  2255   27.48    88.99   225   11.2  236  54.22  0.56
WV10   GOES12  20080827  2255   27.24    87.88   187   18.4  230  69.02  0.85
WV10   GOES12  20080827  2255   27.34    87.57   187   18.2  231  69.21  0.89
WV10   GOES12  20080827  2255   27.31    85.75   225   13.5  244  71.75  0.94
WV10   GOES12  20080827  2255   26.38    88.09   187   15.5  232  75.08  0.88
WV10   GOES12  20080827  2255   26.15    87.53   175   13.3  230  77.43  0.96
WV10   GOES12  20080827  2255   26.47    87.25   187   13.2  232  70.48  0.95
WV10   GOES12  20080827  2255   26.13    77.67   237    4.0  289  63.15  0.53
WV10   GOES12  20080827  2255   26.23    74.18   400    5.9   16  76.23  0.68
WV10   GOES12  20080827  2255   25.80    72.05   250    4.8   49  73.68  0.66
WV10   GOES12  20080827  2255   25.85    88.67   225   13.7  230  78.69  0.78
WV10   GOES12  20080827  2255   25.38    74.31   175    6.2   20  71.89  0.72
WV10   GOES12  20080827  2255   25.81    73.80   175    6.1   16  75.45  0.72
WV10   GOES12  20080827  2255   24.87    87.49   312    8.2  221  72.36  0.82
WV10   GOES12  20080827  2255   24.96    86.56   212    7.9  221  78.23  0.81
WV10   GOES12  20080827  2255   24.84    85.31   387    9.0  218  59.88  0.62
